Tester,HT_Status,Status_1,Status_2,Status_3,Status_4,Status_5,Status_6,Status_7,Status_8,Status_9,Status_10,Status_11,Status_12,Jam_1,Jam_2,Jam_3,Jam_4,Jam_5,Jam_6,Jam_7,Jam_8,Jam_9,Jam_10,Jam_11,Jam_12,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Shuttle_Jam_1,Shuttle_Jam_2,Shuttle_Total_1,Shuttle_Total_2,AlarmMsg,Datetime
QAMT153,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,2,2,,2024-09-23 16:07:00
QAMT71,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:07:02
QAMT153,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,2,2,,2024-09-23 16:07:14
QAMT147,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,1,0,0,0,0,0,0,0,0,281,269,63,263,21,0,0,0,0,0,0,0,0,0,1446,1446,,2024-09-23 16:06:59
QAMT71,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:07:23
QAMT147,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,1,0,0,0,0,0,0,0,0,282,269,63,263,21,0,0,0,0,0,0,0,0,0,1446,1446,,2024-09-23 16:07:12
QAMT147,RUNNING,1,1,1,1,1,M,N,N,N,N,N,N,0,0,0,1,0,0,0,0,0,0,0,0,282,269,63,263,21,0,0,0,0,0,0,0,0,0,1446,1446,,2024-09-23 16:07:14
QAMT104,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:07:20
QAMT120,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,4,1,3,0,0,2,0,0,0,0,0,0,66,66,67,65,66,66,0,0,0,0,0,0,0,0,394,394,No 2  Tester socket IC put jam,2024-09-23 16:07:08
QAMT71,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TranArmSuck2--Vacuum Can On Jam,2024-09-23 16:07:43
QAMT217,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,4,4,2,1,0,0,0,0,0,0,813,2089,2008,839,826,2022,0,0,0,0,0,0,1,0,8742,8742,,2024-09-23 16:07:46
QAMT120,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,4,1,3,0,0,2,0,0,0,0,0,0,66,66,67,66,66,66,0,0,0,0,0,0,0,0,394,394,,2024-09-23 16:07:15
QAMT160,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,1,0,0,0,0,0,0,0,0,0,0,0,38,29,35,36,28,34,0,0,0,0,0,0,0,0,200,200, [CLEAN OUT] FINISH ,2024-09-23 16:08:12
QAMT160,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:08:14
QAMT104,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:07:43
QAMT120,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,4,1,3,0,0,2,0,0,0,0,0,0,66,66,67,66,66,66,0,0,0,0,0,0,0,0,394,394,,2024-09-23 16:07:23
QAMT147,PAUSE,1,1,1,1,1,M,N,N,N,N,N,N,0,0,0,1,0,0,0,0,0,0,0,0,282,269,63,263,22,1,0,0,0,0,0,0,0,0,1453,1453,,2024-09-23 16:07:46
QAMT217,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,4,4,2,1,0,0,0,0,0,0,813,2090,2008,840,826,2022,0,0,0,0,0,0,1,0,8742,8742,,2024-09-23 16:07:58
QAMT71,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:08:01
QAMT109,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,82,79,85,84,86,86,0,0,0,0,0,0,1,0,501,501,TranArm To Shuttle R Kit 1 IC put error,2024-09-23 16:07:41
QAMT109,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,82,79,85,84,86,86,0,0,0,0,0,0,1,0,501,501,,2024-09-23 16:07:47
QAMT104,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System Error--SysErr_TestProgramName1,2024-09-23 16:08:06
QAMT97,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:07:54
QAMT201,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,4,0,0,0,0,0,0,10,774,776,18,762,650,0,0,0,0,0,0,0,0,3988,3988,,2024-09-23 16:08:17
QAMT163,ALARM,1,1,1,1,M,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,TranArmSuck2--Vacuum Can On Jam,2024-09-23 16:08:37
QAMN03,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:08:48
QAMT97,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:08:24
QAMT209,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:08:55
QAMT72,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,4,5,1,7,6,22,0,0,0,0,0,0,483,389,412,317,1437,1000,0,0,0,0,0,0,0,0,14902,14902,6 號測試治具 IC 沒有放好錯誤,2024-09-23 16:08:56
QAMT97,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Do loader tray will put to Empty1 by the FT Mode ?,2024-09-23 16:08:31
QAMT209,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:08:59
QAMT153,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,3,4,0,0,0,0,0,0,0,0,16,16,Empty 2 no tray,2024-09-23 16:09:06
QAMT97,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:08:35
QAMT201,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,4,0,0,0,0,0,0,10,774,776,18,762,650,0,0,0,0,0,0,0,0,3988,3988,,2024-09-23 16:08:53
QAMT208,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:08:58
QAMN03,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Do loader tray will put to Empty1 by the FT Mode ?,2024-09-23 16:09:07
QAMN03,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:09:09
QAMN03,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:09:10
QAMN03,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:09:15
QAMT160,IDLE,M,M,1,M,M,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:09:43
QAMT72,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,4,5,1,7,6,22,0,0,0,0,0,0,483,389,412,317,1437,1000,0,0,0,0,0,0,0,0,14902,14902,,2024-09-23 16:09:22
QAMT100,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,546,550,553,542,543,544,0,0,0,0,0,0,0,0,3278,3278,,2024-09-23 16:09:40
QAMT100,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,547,551,554,543,544,545,0,0,0,0,0,0,0,0,3278,3278,,2024-09-23 16:09:42
QAMT81,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:09:55
QAMT72,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,4,5,1,7,6,22,0,0,0,0,0,0,483,389,412,317,1437,1000,0,0,0,0,0,0,0,0,14902,14902,,2024-09-23 16:09:30
QAMT219,PAUSE,1,M,1,1,1,1,N,N,N,N,N,N,9,1,12,2,3,10,0,0,0,0,0,0,537,536,568,506,327,247,0,0,0,0,0,0,2,0,15987,15987,,2024-09-23 16:09:28
QAMT160,PAUSE,M,M,1,M,M,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:09:55
QAMT160,RUNNING,M,M,1,M,M,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:09:56
QAMT121,ALARM,1,1,1,1,A,1,N,N,N,N,N,N,3,1,0,1,0,1,0,0,0,0,0,0,856,307,858,847,166,610,0,0,0,0,0,0,0,0,4550,4550,Empty 2 no tray,2024-09-23 16:09:40
QAMT71,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,2,"Loader has not any tray,want to process  [CLEAN OUT] ?",2024-09-23 16:09:39
QAMN03,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:09:39
QAMT71,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,2,,2024-09-23 16:09:48
QAMT97,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TranArmSuck2--Vacuum Can On Jam,2024-09-23 16:09:22
QAMT71,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,2,,2024-09-23 16:09:50
QAMT97,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:09:27
QAMT96,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,2,34,0,0,0,0,0,0,660,454,666,657,656,661,0,0,0,0,0,0,0,0,3754,3754,,2024-09-23 16:09:58
QAMT160,PAUSE,M,M,1,M,M,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:10:44
QAMT67,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,6,67,73,67,71,6,0,0,0,0,0,0,0,0,325,325,,2024-09-23 16:11:20
QAMT209,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TranArmSuck2--Vacuum Can On Jam,2024-09-23 16:10:23
QAMT160,RUNNING,M,M,1,M,M,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:10:53
QAMT104,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:10:21
QAMT209,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-23 16:10:37
QAMT165,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,182,184,183,180,183,183,0,0,0,0,0,0,0,0,1091,1091,Empty 2 no tray,2024-09-23 16:10:46
QAMT147,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,1,0,0,0,0,0,0,0,0,282,269,63,263,22,1,0,0,0,0,0,0,0,0,1453,1453,,2024-09-23 16:10:36
QAMT201,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,4,0,0,0,0,0,0,13,778,780,22,766,654,0,0,0,0,0,0,0,0,4012,4012,"Site 4 測試機有回傳到未設定的 Error code=ErrCodeLength_ERR,請檢查!",2024-09-23 16:10:42
QAMT67,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,6,67,73,67,71,6,0,0,0,0,0,0,0,0,330,330,,2024-09-23 16:11:53
QAMT201,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,4,0,0,0,0,0,0,13,778,780,22,766,654,0,0,0,0,0,0,0,0,4012,4012,,2024-09-23 16:11:10
QAMT143,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,293,296,286,292,299,298,0,0,0,0,0,0,0,0,1762,1762,,2024-09-23 16:11:43
