Tester,HT_Status,Status_1,Status_2,Status_3,Status_4,Status_5,Status_6,Status_7,Status_8,Status_9,Status_10,Status_11,Status_12,Jam_1,Jam_2,Jam_3,Jam_4,Jam_5,Jam_6,Jam_7,Jam_8,Jam_9,Jam_10,Jam_11,Jam_12,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Shuttle_Jam_1,Shuttle_Jam_2,Shuttle_Total_1,Shuttle_Total_2,AlarmMsg,Datetime
QAMT154,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024/9/20 00:00
QAMT154,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024/9/20 00:00
QAMT130,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,641,654,656,649,608,646,0,0,0,0,0,0,1,0,3853,3853,No 5  Tester socket IC put jam,2024/9/20 00:00
QAMT130,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,641,654,656,649,608,646,0,0,0,0,0,0,1,0,3853,3853,No 5  Tester socket IC put jam,2024/9/20 00:00
QAMT209,ALARM,M,1,M,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,3, [CLEAN OUT] FINISH ,2024/9/20 00:00
QAMT209,ALARM,M,1,M,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,3, [CLEAN OUT] FINISH ,2024/9/20 00:00
QAMT208,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,73,74,77,72,73,73,0,0,0,0,0,0,0,0,441,441,,2024/9/20 00:00
QAMT210,PAUSE,1,1,1,1,A,1,N,N,N,N,N,N,0,1,2,1,0,0,0,0,0,0,0,0,1,2,47,33,12,40,0,0,0,0,0,0,0,0,155,155,,2024/9/20 00:00
QAMT204,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024/9/20 00:00
QAMT204,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024/9/20 00:00
QAMT130,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,642,655,657,650,608,647,0,0,0,0,0,0,1,0,3853,3853,No 5  Tester socket IC put jam,2024/9/20 00:00
QAMT204,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024/9/20 00:00
QAMT208,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,73,74,77,72,73,73,0,0,0,0,0,0,0,0,441,441,System Error--SysErr_SafeDoor the front side,2024/9/20 00:00
QAMT208,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,73,74,77,72,73,73,0,0,0,0,0,0,0,0,441,441,,2024/9/20 00:00
QAMT130,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,642,655,657,650,608,647,0,0,0,0,0,0,1,0,3853,3853,No 5  Tester socket IC put jam,2024/9/20 00:00
QAMT208,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,73,74,77,72,73,73,0,0,0,0,0,0,0,0,441,441,,2024/9/20 00:00
QAMT130,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,642,655,657,650,608,647,0,0,0,0,0,0,1,0,3853,3853,No 5  Tester socket IC put jam,2024/9/20 00:00
QAMT130,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,642,655,657,650,608,647,0,0,0,0,0,0,1,0,3853,3853,No 5  Tester socket IC put jam,2024/9/20 00:00
QAMT210,RUNNING,1,1,1,1,A,1,N,N,N,N,N,N,0,1,2,1,0,0,0,0,0,0,0,0,1,2,47,33,12,40,0,0,0,0,0,0,0,0,155,155,,2024/9/20 00:00
QAMT210,RUNNING,1,1,1,1,A,1,N,N,N,N,N,N,0,1,2,1,0,0,0,0,0,0,0,0,1,2,47,33,12,40,0,0,0,0,0,0,0,0,155,155,,2024/9/20 00:00
QAMT209,IDLE,M,1,M,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024/9/20 00:00
QAMT220,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,1,0,0,0,2,0,0,0,0,0,0,0,3,4,4,3,4,4,0,0,0,0,0,0,0,0,20,20,No 5  Tester socket IC put jam,2024/9/20 00:00
QAMT130,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,642,655,657,650,608,647,0,0,0,0,0,0,1,0,3853,3853,No 5  Tester socket IC put jam,2024/9/20 00:00
QAMT210,PAUSE,1,1,1,1,A,1,N,N,N,N,N,N,0,1,2,1,0,0,0,0,0,0,0,0,1,4,48,34,12,41,0,0,0,0,0,0,0,0,156,156,,2024/9/20 00:00
QAMT210,PAUSE,1,1,1,1,A,1,N,N,N,N,N,N,0,1,2,1,0,0,0,0,0,0,0,0,1,4,48,34,12,41,0,0,0,0,0,0,0,0,156,156,,2024/9/20 00:00
QAMT130,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,642,655,657,650,608,647,0,0,0,0,0,0,1,0,3853,3853,,2024/9/20 00:01
QAMT130,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,642,655,657,650,608,647,0,0,0,0,0,0,1,0,3853,3853,,2024/9/20 00:01
QAMT210,RUNNING,1,1,1,1,A,1,N,N,N,N,N,N,0,1,2,1,0,0,0,0,0,0,0,0,1,4,48,34,12,41,0,0,0,0,0,0,0,0,156,156,,2024/9/20 00:01
QAMT210,RUNNING,1,1,1,1,A,1,N,N,N,N,N,N,0,1,2,1,0,0,0,0,0,0,0,0,1,4,48,34,12,41,0,0,0,0,0,0,0,0,156,156,,2024/9/20 00:01
QAMT204,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Do loader tray will put to Empty1 by the FT Mode ?,2024/9/20 00:01
QAMT204,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024/9/20 00:01
QAMT204,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024/9/20 00:01
QAMN06,PAUSE,1,1,A,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1117,1137,733,1135,1203,1064,0,0,0,0,0,0,0,0,6598,6598,,2024/9/20 00:01
QAMN06,PAUSE,1,1,A,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1117,1137,733,1135,1203,1064,0,0,0,0,0,0,0,0,6598,6598,,2024/9/20 00:01
QAMT216,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,5,0,2,1,2,4,0,0,0,0,0,0,731,739,675,728,725,730,0,0,0,0,0,0,0,0,4371,4371,No 1  Tester socket IC put jam,2024/9/20 00:01
QAMT212,ALARM,1,1,1,M,1,1,N,N,N,N,N,N,0,9,7,4,2,1,0,0,0,0,0,0,1156,1161,238,166,1169,1185,0,0,0,0,0,0,0,0,5931,5931,No 2  Tester socket IC put jam,2024/9/20 00:00
QAMT212,ALARM,1,1,1,M,1,1,N,N,N,N,N,N,0,9,7,4,2,1,0,0,0,0,0,0,1156,1161,238,166,1169,1185,0,0,0,0,0,0,0,0,5931,5931,No 2  Tester socket IC put jam,2024/9/20 00:00
QAMT204,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024/9/20 00:01
QAMT204,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024/9/20 00:01
QAMT159,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,59,58,58,60,59,59,0,0,0,0,0,0,0,0,353,353,"Shuttle R Pin1 Error,Yes to retry ,No skip IC",2024/9/20 00:01
