Tester,HT_Status,Status_1,Status_2,Status_3,Status_4,Status_5,Status_6,Status_7,Status_8,Status_9,Status_10,Status_11,Status_12,Jam_1,Jam_2,Jam_3,Jam_4,Jam_5,Jam_6,Jam_7,Jam_8,Jam_9,Jam_10,Jam_11,Jam_12,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Shuttle_Jam_1,Shuttle_Jam_2,Shuttle_Total_1,Shuttle_Total_2,AlarmMsg,Datetime
QAMT203,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-25 00:00:08
QAMT183,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,9,1,7,15,18,2,0,0,0,0,0,0,189,253,159,108,92,172,0,0,0,0,0,0,2,0,5280,5280,No 5  Tester socket IC put jam,2024-09-25 00:00:06
QAMT219,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,186,186,TranArmSuck1--Vacuum Can On Jam,2024-09-25 00:00:06
QAMT220,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,1,0,0,0,0,0,0,0,0,3,3,4,3,3,4,0,0,0,0,0,0,0,0,18,18,No 4  Tester socket IC put jam,2024-09-25 00:00:08
QAMT219,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,186,186,,2024-09-25 00:00:13
QAMT189,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,1,2,0,0,0,0,0,0,0,0,0,116,103,116,119,103,120,0,0,0,0,0,0,0,0,675,675,MAuto3--無法偵測到 Tray 存在錯誤,2024-09-25 00:00:17
QAMT220,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,1,0,0,0,0,0,0,0,0,3,3,4,3,3,4,0,0,0,0,0,0,0,0,18,18,,2024-09-25 00:00:26
QAMT188,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,1,2,1,1,0,0,0,0,0,0,0,1437,1421,1473,1485,1388,1465,0,0,0,0,0,0,0,0,8667,8667,,2024-09-25 00:00:53
QAMT75,PAUSE,M,M,M,1,M,1,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,21,21,,2024-09-25 00:00:52
QAMT75,RUNNING,M,M,M,1,M,1,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,21,21,,2024-09-25 00:00:55
QAMT188,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,1,2,1,1,0,0,0,0,0,0,0,1437,1421,1473,1485,1388,1466,0,0,0,0,0,0,0,0,8667,8667,,2024-09-25 00:01:16
QAMT163,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,1,0,0,0,0,0,0,0,0,0,0,114,126,7,121,126,130,0,0,0,0,0,0,0,0,714,714,,2024-09-25 00:01:18
QAMN06,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,5,4,0,0,0,0,0,0,0,0,17,17,,2024-09-25 00:01:32
QAMN06,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,5,4,0,0,0,0,0,0,0,0,17,17,System Error--SysErr_EMG,2024-09-25 00:01:35
QAMT177,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,2,0,0,0,0,0,0,0,35,43,44,39,43,43,0,0,0,0,0,0,0,0,244,244,No 5  Tester socket IC put jam,2024-09-25 00:01:51
QAMT112,PAUSE,1,A,1,1,1,1,N,N,N,N,N,N,1,0,12,0,1,15,0,0,0,0,0,0,972,847,123,955,919,969,0,0,0,0,0,0,0,0,5587,5587,,2024-09-25 00:02:02
QAMT112,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,1,0,12,0,1,15,0,0,0,0,0,0,972,847,123,955,919,969,0,0,0,0,0,0,0,0,5587,5587,,2024-09-25 00:02:03
QAMT210,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-25 00:02:07
QAMT69,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,3,0,5,0,0,0,0,0,0,0,0,0,477,475,476,465,474,477,0,0,0,0,0,0,0,0,2840,2840,,2024-09-25 00:02:04
QAMT110,PAUSE,M,1,1,M,1,1,N,N,N,N,N,N,5,13,12,4,8,18,0,0,0,0,0,0,783,88,829,783,820,724,0,0,0,0,0,0,0,0,4746,4746,,2024-09-25 00:01:55
