Tester,HT_Status,Status_1,Status_2,Status_3,Status_4,Status_5,Status_6,Status_7,Status_8,Status_9,Status_10,Status_11,Status_12,Jam_1,Jam_2,Jam_3,Jam_4,Jam_5,Jam_6,Jam_7,Jam_8,Jam_9,Jam_10,Jam_11,Jam_12,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Shuttle_Jam_1,Shuttle_Jam_2,Shuttle_Total_1,Shuttle_Total_2,AlarmMsg,Datetime
QAMT121,PAUSE,1,1,1,1,A,1,N,N,N,N,N,N,4,0,0,0,0,0,0,0,0,0,0,0,252,255,254,251,34,256,0,0,0,0,0,0,0,0,1434,1434,,2024-09-25 00:00:26
QAMT121,RUNNING,1,1,1,1,A,1,N,N,N,N,N,N,4,0,0,0,0,0,0,0,0,0,0,0,252,255,254,251,34,256,0,0,0,0,0,0,0,0,1434,1434,,2024-09-25 00:00:34
QAMT196,ALARM,1,M,M,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1, [CLEAN OUT] FINISH ,2024-09-26 00:00:48
QAMT155,PAUSE,1,A,1,1,1,1,N,N,N,N,N,N,0,5,15,1,3,0,0,0,0,0,0,0,1186,868,1280,1003,1316,276,0,0,0,0,0,0,0,0,6443,6443,,2024-09-26 00:02:01
QAMT155,RUNNING,1,A,1,1,1,1,N,N,N,N,N,N,0,5,15,1,3,0,0,0,0,0,0,0,1186,868,1280,1003,1317,277,0,0,0,0,0,0,0,0,6443,6443,,2024-09-26 00:02:10
QAMT126,RUNNING,1,M,M,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,,2024-09-26 00:01:25
QAMT197,IDLE,M,M,M,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-26 00:01:22
QAMT197,RUNNING,M,M,M,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-26 00:01:30
QAMT196,IDLE,1,M,M,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-26 00:01:43
QAMT65,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,1,0,0,2,0,5,0,0,0,0,0,0,189,184,193,188,179,187,0,0,0,0,0,0,0,0,1120,1120,,2024-09-26 00:01:30
QAMT65,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,1,0,0,2,0,5,0,0,0,0,0,0,189,184,193,188,179,187,0,0,0,0,0,0,0,0,1120,1120,,2024-09-26 00:01:33
QAMT197,ALARM,M,M,M,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TranArmSuck1--Vacuum Can On Jam,2024-09-26 00:02:17
QAMT203,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,21,0,2,0,2,0,0,0,0,0,0,425,415,127,486,400,412,0,0,0,0,0,0,0,0,2509,2509,No 2  Tester socket IC put jam,2024-09-26 00:02:28
QAMT197,RUNNING,M,M,M,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-26 00:03:13
QAMT118,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,185,240,225,106,227,225,0,0,0,0,0,0,0,0,1293,1293,,2024-09-26 00:03:54
QAMT80,ALARM,1,1,M,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,802,947,0,0,0,0,0,0,0,0,0,0,0,0,1749,1749,"Loader has not any tray,want to process  [CLEAN OUT] ?",2024-09-26 00:04:01
QAMT109,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,8,0,0,0,0,0,0,0,0,141,105,699,219,407,203,0,0,0,0,0,0,14,0,3555,3555,,2024-09-26 00:03:36
QAMT118,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,185,240,225,106,227,225,0,0,0,0,0,0,0,0,1293,1293,,2024-09-26 00:04:17
QAMT109,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,8,0,0,0,0,0,0,0,0,141,105,699,219,408,204,0,0,0,0,0,0,14,0,3555,3555,,2024-09-26 00:03:47
QAMT83,IDLE,1,M,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-26 00:06:57
QAMT126,ALARM,1,M,M,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21, [CLEAN OUT] FINISH ,2024-09-26 00:04:49
QAMT223,IDLE,1,1,1,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-26 00:04:36
QAMT126,IDLE,1,M,M,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-26 00:05:03
QAMT223,RUNNING,1,1,1,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-26 00:04:53
QAMT181,ALARM,A,1,1,1,1,1,N,N,N,N,N,N,1,0,0,5,3,2,0,0,0,0,0,0,165,36,171,34,46,43,0,0,0,0,0,0,0,0,954,954,No 5  Tester socket IC put jam,2024-09-26 00:05:34
QAMT116,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,81,113,113,113,82,113,0,0,0,0,0,0,0,0,683,683,No 5  Tester socket IC put jam,2024-09-26 00:05:48
QAMT65,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,1,0,0,3,0,5,0,0,0,0,0,0,192,187,196,191,182,190,0,0,0,0,0,0,0,0,1135,1135,No 4  Tester socket IC put jam,2024-09-26 00:05:31
QAMT201,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,112,119,113,111,110,119,0,0,0,0,0,0,0,0,681,681,,2024-09-26 00:05:57
QAMT201,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,112,119,113,111,111,120,0,0,0,0,0,0,0,0,681,681,,2024-09-26 00:06:01
QAMT201,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,112,119,114,112,111,120,0,0,0,0,0,0,0,0,682,682,"Site 4 ErrCode=ErrCodeLength_ERR Not Define,Please Check",2024-09-26 00:06:02
QAMT201,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,112,119,114,112,111,120,0,0,0,0,0,0,0,0,682,682,,2024-09-26 00:06:05
QAMT80,PAUSE,1,1,M,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,802,947,0,0,0,0,0,0,0,0,0,0,0,0,1749,1749,,2024-09-26 00:06:40
QAMT121,PAUSE,1,1,1,1,A,1,N,N,N,N,N,N,4,0,0,0,0,0,0,0,0,0,0,0,257,259,258,255,34,260,0,0,0,0,0,0,0,0,1454,1454,,2024-09-25 00:06:50
QAMT121,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,4,0,0,0,0,0,0,0,0,0,0,0,257,259,258,255,34,260,0,0,0,0,0,0,0,0,1454,1454,,2024-09-25 00:06:58
QAMT116,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,81,113,113,113,82,113,0,0,0,0,0,0,0,0,683,683,,2024-09-26 00:06:46
QAMT65,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,1,0,0,3,0,5,0,0,0,0,0,0,192,187,196,191,182,190,0,0,0,0,0,0,0,0,1135,1135,,2024-09-26 00:06:30
QAMT173,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,15,15,14,15,15,14,0,0,0,0,0,0,0,0,85,85,Empty 2 no tray,2024-09-26 00:07:24
QAMT116,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0,0,81,113,113,113,82,114,0,0,0,0,0,0,0,0,683,683,,2024-09-26 00:06:54
QAMT65,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,1,0,0,3,0,5,0,0,0,0,0,0,192,187,196,191,182,190,0,0,0,0,0,0,0,0,1135,1135,,2024-09-26 00:06:36
QAMT80,ALARM,1,1,M,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,802,947,0,0,0,0,0,0,0,0,0,0,0,0,1749,1749,MEmpty1--Full error,2024-09-26 00:07:23
QAMT223,ALARM,1,1,1,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,TranArmSuck1--Vacuum Can On Jam,2024-09-26 00:07:22
QAMT80,ALARM,1,1,M,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,803,948,0,0,0,0,0,0,0,0,0,0,0,0,1749,1749,MEmpty1--Full error,2024-09-26 00:07:27
QAMT80,ALARM,1,1,M,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,803,948,0,0,0,0,0,0,0,0,0,0,0,0,1749,1749,MEmpty1--Full error,2024-09-26 00:07:30
QAMT209,IDLE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-26 00:07:33
QAMT80,PAUSE,1,1,M,M,M,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,803,948,0,0,0,0,0,0,0,0,0,0,0,0,1749,1749,,2024-09-26 00:07:32
QAMT203,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,21,0,2,0,2,0,0,0,0,0,0,425,415,127,486,400,412,0,0,0,0,0,0,0,0,2509,2509,,2024-09-26 00:07:40
