current_time,Ndate,Sdate,Shift,customer,tester,status,step,maxsites,runsiteqty,device,family,SE,Class,RowID
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT112,IDLE_L,MT        ,6,0,MT9016OAAT/ABZACC3434-H,5873,None,B,9755290
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT113,RUN,EQC       ,6,6,MT9270DABJ/ABZBCA343434-MA2-H,5889,None,B,9755291
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MSL,QAMT114,RUN,MT        ,6,6,MT9255BCAN/AAZBXDA2020-L,5862,None,B,9755292
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,XST,QAMT115,RUN,MT        ,6,6,SAC8539,nan,None,B,9755293
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,XSG,QAMT116,IDLE_L,EQC       ,6,0,None,nan,None,B,9755294
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT117,RUN,RT4       ,6,6,SV72201PG/BAB-V,nan,None,B,9755295
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT118,RUN,MT        ,6,6,MT9288GAAT/ABZAHIA2020-H,5870,None,B,9755296
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT119,RUNR,MT        ,6,0,SV72203TBG/WABAACU,nan,黎煥新,B,9755297
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT12,IDLE_L,EQC2      ,6,0,MT9022KAAT/ACZBCB3434-PVID-H,5889,None,B,9755298
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,XSG,QAMT120,RUN,MT        ,6,6,SSR921G,nan,None,B,9755299
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,XSG,QAMT121,IDLE_L,EQC2      ,6,0,SAC8542,nan,None,B,9755300
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT122,RUN,MT        ,6,6,NT72690TBG-8C4K/WBBAACU,nan,None,B,9755301
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT123,RUN,MT2       ,6,6,SV72203TBG/WABAACU,nan,None,B,9755302
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT124,RUNR,MT2       ,6,0,SV72191BG/AAACUC-V,nan,黎煥新,B,9755303
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT125,RUNR,RT2       ,6,0,NT72676BG-WA/BABCU,nan,蔡坤佑,B,9755304
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT126,SETUPW,MT        ,6,0,SV72193BG/ABACU-V,nan,None,B,9755305
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT127,RUNR,MT        ,6,0,SV72203TBG/WABAACU,nan,黎煥新,B,9755306
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT128,RUN,MT        ,6,6,SV72203TBG/WABAACU,nan,None,B,9755307
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT129,RUN,EQC       ,6,6,NT68581UPG/DAD,nan,None,B,9755308
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT13,RUN,MT        ,6,6,MT9270DABJ/ABZBCA343434-MA2-H,5889,None,B,9755309
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT130,RUN,RT1       ,6,6,SV72203TBG/WABAACU,nan,None,B,9755310
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT131,IDLE_L,MT3       ,6,0,SV72203TBG/WABAACU,nan,None,B,9755311
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT132,RUN,RT2       ,6,6,SV72187BG-8K/BBACU-V,nan,None,B,9755312
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT133,ENG_L,EQC       ,6,0,MT9603EDAT/HCZACC3434-H,5873,None,B,9755313
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT134,RUN,MT        ,6,6,SV72203TBG/WABAACU,nan,None,B,9755314
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT135,RUN,MT        ,6,6,SV72203TBG/WABAACU,nan,None,B,9755315
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT136,RUN,MT2       ,6,6,SV72203TBG/WABAACU,nan,None,B,9755316
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT137,RUN,MT        ,6,6,NT72690TBG-8C2K/WBBAACUFQ,nan,None,B,9755317
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT138,RUN,MT3       ,6,6,SV72203TBG/WABAACU,nan,None,B,9755318
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,XSG,QAMT139,RUN,MT        ,6,6,None,nan,None,B,9755319
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT14,REPAIR,MT2       ,6,0,None,nan,謝瑋軒,B,9755320
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT140,RUN,MT        ,6,6,SV72203TBG/WABAACU,nan,None,B,9755321
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,XSG,QAMT141,IDLE_L,MT        ,6,0,SSC377DE,nan,None,B,9755322
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT142,RUN,MT2       ,6,6,NT72335PG-VB/AAA,nan,None,B,9755323
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT143,RUNR,MT        ,6,0,SV72203TBG/WABAACU,nan,黎煥新,B,9755324
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT144,RUN,MT        ,6,6,NT72690TBG-8C2K/WBBAACUFQ,nan,None,B,9755325
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT145,RUN,MT        ,6,6,SV72221BG-27/AABCUB1,nan,None,B,9755326
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT146,RUN,RT1       ,6,6,SV72203TBG/WABAACU,nan,None,B,9755327
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT147,RUN,MT        ,6,6,SV72203TBG/WABAACU,nan,None,B,9755328
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT148,RUN,MT        ,6,6,SV72203TBG/WABAACU,nan,None,B,9755329
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT149,RUN,MT2       ,6,6,SV72203TBG/WABAACU,nan,None,B,9755330
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT15,SETUPW_L,EQC2      ,6,0,MT9000AAAT/ADZBHHB343434-CSM34NB-H,5876,None,B,9755331
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT150,RUN,MT        ,6,6,MT9016OAAT/ABZACC3434-H,5873,None,B,9755332
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT151,RUN,RT2       ,6,6,MT9016OAAT/ABZACC3434-H,5873,None,B,9755333
