current_time	Ndate	Sdate	Shift	customer	tester	status	step	maxsites	runsiteqty	device	family	SE	Class
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMN05	IDLE_L	RT1       	6	0	NT98336BG/CBCCU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMN06	RUN	MT2       	6	6	NC98529BG/AAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMN07	RUN	RT1       	6	6	NT72676BG-WA/BABCU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMN08	RUNR	MT        	6	0	SV68307UTBG/BABAACU	nan	波多(Wendell)	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMN09	IDLE	MT        	6	0	NT68300UMFG/CABAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMN10	IDLE_L	MT3       	6	0	SV72203TBG/WABAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMN11	RUN	MT        	6	6	SV72194TBG/WABAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMN12	RUN	MT2       	6	6	NT72327PG/AAA	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMN13	RUN	MT        	8	8	NT72335PG-D1/AAA	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMN14	RUN	MT        	8	8	NT72335PG-VA/AAA	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMN15	RUN	MT        	8	8	NT72327PG/AAA	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT01	RUN	EQC       	6	6	MS7232Z1N/52AZAA20-L	MS7232	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT02	RUN	EQC       	6	6	MT9602CAAT/KBZAHIA202020-H	5870	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	XSG	QAMT03	IDLE_L	RT1       	6	0	SSC375-V0	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT04	RUN	RT2       	6	6	MT9667DAAJ/ABZBCA343434-H	5889	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT05	DOWN	MT        	6	0	MT9653BADT/ABZAHHB-P-H	5879	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT06	IDLE_L	EQC       	6	0	MS7239OD5T/E1ZAHHB-I-H	MS7239	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVO	QAMT07	DOWN	RT3       	6	0	NUC1263ZD4CE	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT08	IDLE_L	MT        	6	0	MT9010PBAT/FAZBHHA202020-H	5870	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MSL	QAMT09	RUN	EQC       	6	6	MT9255AAAN/AAZBXDA20-L	5862	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT10	RUN	MT        	6	6	MT9618GACT/ABZAHHB-H	5879	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT100	RUN	RT1       	6	6	NT72327PG/AAA	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT101	IDLE_L	RT2       	6	0	MT9603EAAT/BDZACC3434-E-H	5873	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MSL	QAMT102	RUN	EQC2      	6	6	MT9399BNW/BDAHHC-H	9399	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT103	RUN	MT        	6	6	MT9603BAAT/ACZACC3434-H	5873	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT104	ENG_L	MT        	6	0	NT98632BG/CACCU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT105	ENG_L	MT        	6	0		nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT106	RUN	MT        	6	6	MT9602EAAT/LBZAHIA202020-H	5870	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT107	IDLE_L	MT        	6	0	None	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	ARHT	QAMT108	RUN	MT        	6	6	AN7583ST/ACA-PCU-H	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT109	RUN	MT2       	6	6	NT72335PG-D1/AAA	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	ARHT	QAMT11	IDLE_L	RT6       	6	0	MS7245PA0U/H0AZAA20-L	MS7245	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT110	RUN	RT3       	6	6	MT9379ANV/OLAHHD-H	9379	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	ARHT	QAMT111	RUN	MT        	6	6	AG3353V/BMB22-P1-H	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT112	RUN	MT        	6	6	MT9016CWAT/ABZACC3434-H	5873	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	ARHT	QAMT113	IDLE_L	RT1       	6	0	AG3353V/BMB22-P1-H	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MSL	QAMT114	RUN	RT1       	6	6	MT9255AAAN/AAZAXDC20-L	5862	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	XSG	QAMT115	IDLE	RT4       	6	0	SAV835XQ	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	XSG	QAMT116	RUN	MT        	6	6	SAC8542	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT117	IDLE_L	MT        	6	0	SV72201PG/BAB-V	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT118	RUN	MT        	6	6	MT5583GAAT/ABZAHHD2020-H	5870	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT119	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT12	IDLE_L	EQC       	6	0	MT9617KAAT/ECZBCB3434-H	5889	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	XSG	QAMT120	IDLE_L	MT        	6	0	None	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	XSG	QAMT121	RUNR	EQC2      	6	0	SAC8542	nan	宏馬拉(Lester)	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT122	IDLE_L	RT1       	6	0	NT72690TBG-8C4K/WBBAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT123	REPAIR	MT2       	6	0	SV72203TBG/WABAACU	nan	宏馬拉(Lester)	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT124	IDLE_L	RT1       	6	0	SV72187BG-8K/BBACU-V	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT125	RUN	MT        	6	6	SV72221BG-27/AABCUB1	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT126	IDLE_L	MT        	6	0	NT68103UQG/BABCU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT127	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT128	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT129	RUN	MT        	6	6	SV68580UPG/CAC	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT13	IDLE_L	MT3       	6	0	MX3067J/D0ZAHHA202020-H	MX3067	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT130	RUN	MT3       	6	6	SV72203TBG/WABAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT131	RUNP	MT        	6	5	NC98525BG/BABCU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT132	IDLE_L	EQC2      	6	0	SV72187BG-8K/BBACU-V	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	ARHT	QAMT133	RUN	EQC       	6	6	AN7583DT/ACA-PCU-H	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT134	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT135	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT136	RUN	MT        	6	6	NC98529BG/AAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT137	IDLE_L	RT1       	6	0	NT72690TBG-8C2K/WBBAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT138	RUN	MT3       	6	6	SV72203TBG/WABAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	XSG	QAMT139	RUNR	RT1       	6	0	SSR910Q	nan	徐量建	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	MTK	QAMT14	RUN	MT2       	6	6	MT9617KAAT/ECZBCB3434-H	5889	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT140	IDLE_L	MT        	6	0	SV72203TBG/WABAACU	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	XSG	QAMT141	RUN	MT        	6	6	SSR921G	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT142	RUNP	MT2       	6	5	NT72335PG-D1/AAA	nan	None	A
2024/9/26 19:30	2024/9/26	2024/9/26	night	NVT	QAMT143	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	A
