current_time	Ndate	Sdate	Shift	customer	tester	status	step	maxsites	runsiteqty	device	family	SE	Class
2024/9/20 17:50	2024/9/20	2024/9/20	day	XSG	QAMT116	IDLE_L	RT1       	6	0	SAC8542	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT117	IDLE_L	MT        	6	0	SV72201PG/BAB-V	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	MTK	QAMT118	RUNP	MT        	6	5	MT9288GAAT/BBZAHHD2020-H	5870	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT119	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	MTK	QAMT12	RUN	RT2       	6	6	MT9617KAAT/ECZBCB3434-H	5889	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	XSG	QAMT120	RUN	MT        	6	6	SSC8826Q	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	XSG	QAMT121	IDLE_L	RT1       	6	0	SAC8542	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT122	IDLE_L	RT1       	6	0	NT72690TBG-8C4K/WBBAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT123	RUN	MT2       	6	6	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT124	IDLE_L	EQC2      	6	0	SV72187BG-8K/BBACU-V	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT125	RUN	MT        	6	6	NT72676BG-WA/BABCU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT126	IDLE_L	MT        	6	0	NT68103UQG/BABCU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT127	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT128	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT129	DOWN	EQC       	6	0	NT68581UPG/DAD	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	MTK	QAMT13	IDLE_L	MT3       	6	0	MX3067J/D0ZAHHA202020-H	MX3067	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT130	RUN	MT3       	6	6	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT131	RUN	MT        	6	6	NT68872UFG/CBACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT132	IDLE_L	RT2       	6	0	SV72187BG-8K/BBACU-V	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	ARHT	QAMT133	IDLE_L	EQC       	6	0	None	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT134	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT135	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT136	RUN	MT        	6	6	NC98529BG/AAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT137	RUN	MT        	6	6	NT72690TBG-8C2K/WBBAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT138	RUN	MT3       	6	6	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	XSG	QAMT139	RUN	MT        	6	6	SSR910Q	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	MTK	QAMT14	IDLE_L	MT2       	6	0	MT9617OAAT/ACZBCB3434-H	5889	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT140	IDLE_L	RT2       	6	0	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	XSG	QAMT141	RUN	MT        	6	6	SSR921G	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT142	RUN	MT2       	6	6	NT72335PG-VA/AAA	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT143	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT144	RUN	MT        	6	6	NT72690TBG-8C2K/WBBAACUFQ	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT145	RUN	MT        	6	6	SV72221BG-27/AABCUB1	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT146	RUN	MT3       	6	6	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT147	IDLE_L	RT1       	6	0	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT148	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT149	RUN	MT2       	6	6	NT72676BG-WA/BABCU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	MTK	QAMT15	IDLE_L	MT2       	6	0	MT9000AAAT/ADZBHHB343434-CSM34NB-H	5876	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	MTK	QAMT150	RUN	MT        	6	6	MT9016OAAT/ABZACC3434-H	5873	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	MTK	QAMT151	RUN	MT        	6	6	MT9603EAAT/BAZACC3434-H	5873	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	NVT	QAMT152	RUN	MT        	6	6	NT68107UFG/BABCU	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	HIM	QAMT153	RUN	RT1       	6	6	F6330A00DLCG006	nan	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	MTK	QAMT154	SETUPW_L	RT3       	6	0	MT5695SAAJ/AAZBHHC3434-H	5888	None	B
2024/9/20 17:50	2024/9/20	2024/9/20	day	MTK	QAMT155	IDLE_L	RT1       	6	0	MT9685MAAT/ACZAHHD202020-P20-H	5871	None	B
