current_time,Ndate,Sdate,Shift,customer,tester,status,step,maxsites,runsiteqty,device,family,SE,Class,RowID
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,XSG,QAMT116,RUNP,MT        ,6,5,SSR921G,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT117,ENG_L,MT        ,6,0,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT118,RUN,MT        ,6,6,MT9666IAAT/AFZACB-H,5872,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT119,RUN,MT        ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT12,DOWN,EQC       ,6,0,MS7232SWU/3CAZAA20-L,MS7232,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,XSG,QAMT120,RUN,MT        ,6,6,SSR921G,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,XSG,QAMT121,RUN,MT        ,6,6,C8-37GW,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT122,ENG_L,MT        ,6,0,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT123,RUN,MT2       ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT124,RUNP,RT2       ,6,5,SV72193BG/ABACU-V,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT125,RUN,MT3       ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT126,RUN,MT        ,6,6,NT68103UQG/BABCU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT127,RUN,RT1       ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT128,RUN,MT        ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT129,IDLE_L,MT        ,6,0,SV68307UTBG/BABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT13,RUNP,MT        ,6,3,MT9270DAAJ/ABZBCA343434-MA2-H,5889,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT130,RUN,MT3       ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT131,RUN,RT1       ,6,6,NT72202TBG-TZ/BABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT132,RUN,MT2       ,6,6,SV72187BG-8K/BBACU-V,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT133,RUN,MT        ,6,6,MT5586EAAT/AAZACC3434-H,5873,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT134,RUN,MT        ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT135,RUN,MT        ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT136,RUNP,MT2       ,6,3,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT137,RUNP,MT        ,6,5,NT72690TBG-8C2K/SABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT138,RUN,MT3       ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,XSG,QAMT139,RUN,MT        ,6,6,SAV835XQ,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT14,REPAIR,RT1       ,6,0,MT9617OAAT/ACZBCB3434-H,5889,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT140,RUN,MT3       ,6,6,SV72203TBG/WABAACU,,,,
