current_time	Ndate	Sdate	Shift	customer	tester	status	step	maxsites	runsiteqty	device	family	SE	Class
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN01	IDLE_L	RT2       	6	0	SV72203TBG/WABAACU	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN02	IDLE_L	EQC       	6	0	NT72202TBG-TZ/XABAACU	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN03	RUN	RT1       	6	6	NT72335PG-VB/AAA	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN04	RUNR	MT        	6	0	SV72193BG/ABACU-V	NULL	克里斯(Chris)	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN05	IDLE_L	EQC       	6	0	NT98690PG/AAA	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN06	IDLE_L	MT        	6	0	NC98691PG/AAA	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN07	IDLE_L	MT        	6	0	NT72676BG-WA/BABCU	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN08	IDLE_L	MT        	6	0	SV68307UTBG/BABAACU	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN09	RUN	MT        	6	6	NT68303UMFG/CABAACU	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN10	IDLE_L	MT3       	6	0	SV72203TBG/WABAACU	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN11	DOWN	MT        	6	0	NT68303UMFG/CABAACU	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN12	IDLE_L	EQC2      	6	0	None	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN13	RUN	MT        	8	8	NT72335PG-D1/AAA	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN14	RUN	MT        	8	8	NT72335PG-D1/AAA	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMN15	RUN	MT        	8	8	NT72327PG/AAA	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT01	IDLE_L	EQC       	6	0	MS7232SWU/2JAZAA20-L	MS7232	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT02	IDLE_L	EQC       	6	0	MT9602EAAT/BAZAHIA202020-H	5870	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	SUN	QAMT03	IDLE_L	RT2       	6	0		NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT04	IDLE_L	EQC2      	6	0	MT9270DABJ/ABZBCA343434-MA2-H	5889	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT05	RUN	MT        	6	6	MT9653BADT/ABZAHHB-P-H	5879	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT06	RUN	MT        	6	6	MS7239OD5T/E1ZAHHB-I-H	MS7239	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVO	QAMT07	SETUPW_L	MT        	6	0	NUC1263ZD4CE	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT08	RUN	MT        	6	6	MT9010PBAT/JBZBHHA202020-H	5870	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MSL	QAMT09	RUN	MT        	6	6	MT9255AAAN/AAZBXDA20-L	5862	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT10	RUN	MT        	6	6	MT9649BAAT/BBZAHHB-H	5879	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMT100	IDLE_L	EQC2      	6	0	NT72327PG/AAA	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT101	RUN	MT2       	6	6	MT9603EAAT/BDZACC3434-H	5873	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT102	RUN	MT        	6	6	MT9649BAAT/BBZAHHB-H	5879	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT103	SETUPW_L	MT2       	6	0	MT9633EAAT/ABZACC3434-H	5873	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	ARHT	QAMT104	RUN	MT        	6	6	AN7583DT/ACA-PCU-H	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT105	RUN	MT        	6	6	MT9633EAAT/ABZACC3434-H	5873	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT106	IDLE_L	RT2       	6	0	None	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT107	RUN	MT        	6	6	MT9649BAAT/BBZAHHB-H	5879	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	ARHT	QAMT108	IDLE_L	RT3       	6	0	AN7583ST/ACA-PCU-H	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	NVT	QAMT109	RUN	MT2       	6	6	NT72335PG-D1/AAA	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	ARHT	QAMT11	RUN	MT-3      	6	6	MS7245PA0U/H0AZAA20-L	MS7245	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT110	RUN	MT2       	6	6	MT9379ANV/OLAHHD-H	9379	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	ARHT	QAMT111	IDLE_L	RT1       	6	0	AG3353V/BMB22-P1-H	NULL	None	B
2024/10/27 02:05	2024/10/27	2024/10/26	night	MTK	QAMT112	RUN	MT        	6	6	MT9603EAAT/BDZACC3434-H	5873	None	B
